source,pt_PT
"<h3>Help</h3>||||||<p>Notes:</p>||||||<ol>|||<li>Use field <code>base</code> for using base salary of the Employee</li>|||<li>Use Salary Component abbreviations in conditions and formulas. <code>BS = Basic Salary</code></li>|||<li>Use field name for employee details in conditions and formulas. <code>Employment Type = employment_type</code><code>Branch = branch</code></li>|||<li>Use field name from Salary Slip in conditions and formulas. <code>Payment Days = payment_days</code><code>Leave without pay = leave_without_pay</code></li>|||<li>Direct Amount can also be entered based on Condition. See example 3</li></ol>||||||<h4>Examples</h4>|||<ol>|||<li>Calculating Basic Salary based on <code>base</code>|||<pre><code>Condition: base &lt; 10000</code></pre>|||<pre><code>Formula: base * .2</code></pre></li>|||<li>Calculating HRA based on Basic Salary<code>BS</code> |||<pre><code>Condition: BS &gt; 2000</code></pre>|||<pre><code>Formula: BS * .1</code></pre></li>|||<li>Calculating TDS based on Employment Type<code>employment_type</code> |||<pre><code>Condition: employment_type==""Intern""</code></pre>|||<pre><code>Amount: 1000</code></pre></li>|||</ol>","<h3>Ajuda</h3>||||||<p>Notas:</p>||||||<ol>|||<li>Use o campo <code>base</code> para usar o salário base do Funcionário</li>|||<li>Use abreviações do Componente Salarial em condições e fórmulas. <code>BS = Salário Básico</code></li>|||<li>Use o nome do campo para detalhes do funcionário em condições e fórmulas. <code>Tipo de emprego = Employment_type</code><code>Filial = filial</code></li>|||<li>Use o nome do campo do comprovante de salário em condições e fórmulas. <code>Dias de pagamento = payment_days</code><code>Lança sem pagamento = sair_sem_pagamento</code></li>|||<li>O valor direto também pode ser inserido com base na condição. Veja o exemplo 3</li></ol>||||||<h4>Exemplos</h4>|||<ol>|||<li>Cálculo do Salário Básico com base em <code>base</code>|||<pre><code>Condição: base &lt; 10000</code></pre>|||<pre><code>Fórmula: base * .2</code></pre></li>|||<li>Cálculo do HRA com base no Salário Básico<code>BS</code> |||<pre><code>Condição: BS &gt; 2000</code></pre>|||<pre><code>Fórmula: BS * .1</code></pre></li>|||<li>Cálculo de TDS com base no tipo de emprego<code>employment_type</code> |||<pre><code>Condição: Employment_type==""Estagiário""</code></pre>|||<pre><code>Valor: 1000</code></pre></li>|||</ol>"
"<h4>Condition Examples</h4>|||<ol>|||<li>Applying tax if employee born between 31-12-1937 and 01-01-1958 (Employees aged 60 to 80)<br>|||<code>Condition: date_of_birth&gt;date(1937, 12, 31) and date_of_birth&lt;date(1958, 01, 01)</code></li><br><li>Applying tax by employee gender<br>|||<code>Condition: gender==""Male""</code></li><br>|||<li>Applying tax by Salary Component<br>|||<code>Condition: base &gt; 10000</code></li></ol>","<h4>Exemplos de condições</h4>|||<ol>|||<li>Aplicação de imposto se funcionário nascido entre 31-12-1937 e 01-01-1958 (Funcionários com idade entre 60 e 80 anos)<br>|||<code>Condição: data_de_nascimento&gt;data(1937, 12, 31) e date_of_birth&lt;date(1958, 01, 01)</code></li><br><li>Aplicação de impostos por gênero do funcionário<br>|||<code>Condição: gênero==""Masculino""</code></li><br>|||<li>Aplicação de impostos por componente salarial<br>|||<code>Condição: base &gt; 10.000</code></li></ol>"
<h5>Employees on Half Day</h5>,<h5>Funcionários em meio dia</h5>
<h5>Unmarked Employees</h5>,<h5>Funcionários não marcados</h5>
<hr>,<h>
<table class='table table-bordered'><tr><th>{0}</th><th>{1}</th></tr>,<table class='table table-bordered'><tr><th>{0}</th><th>{1}</th></tr>
A Job Requisition for {0} requested by {1} already exists: {2},Já existe uma requisição de trabalho para {0} solicitada por {1}: {2}
A friendly reminder of an important date for our team.,Um lembrete amigável de uma data importante para nossa equipe.
A {0} exists between {1} and {2} (,Existe um {0} entre {1} e {2} (
Abbr,Abbr
About,Sobre
Absent,Ausente
Absent Days,Dias ausentes
Absent Records,Registros de ausência
Account,Conta
Account Head,Chefe de conta
Account No,Número da conta
"Account type should be set {0} for payroll payable account {1}, please set and try again",O tipo de conta deve ser definido como {0} para a conta de folha de pagamento a pagar {1}. Defina e tente novamente
Account {0} does not match with Company {1},A conta {0} não corresponde à empresa {1}
Accounting & Payment,Contabilidade e Pagamento
Accounting Details,Detalhes contábeis
Accounts not set for Salary Component {0},Contas não definidas para componente salarial {0}
Accrual,Acumulação
Accrual Arrears,Acumulação de Atrasos
Accrual Component,Componente de acumulação
Accrual Component can only be set for Earning Salary Components.,O componente de acumulação só pode ser definido para componentes de salário remunerado.
Accrual Component can only be set for Flexible Benefit Salary Components with accrual payout methods.,O componente de acumulação só pode ser definido para componentes salariais de benefícios flexíveis com métodos de pagamento de acumulação.
Accrual Component must be set for Flexible Benefit Salary Components with accrual payout methods.,O componente de acumulação deve ser definido para componentes salariais de benefícios flexíveis com métodos de pagamento de acumulação.
Accrual Journal Entry for salaries from {0} to {1},Lançamento contábil manual de acumulação para salários de {0} a {1}
Accrue and payout at end of payroll period,Acumulação e pagamento no final do período da folha de pagamento
"Accrue per cycle, pay only on claim","Acumule por ciclo, pague somente mediante solicitação"
Accrued Benefits,Benefícios acumulados
Accrued Earnings Report,Relatório de ganhos acumulados
Accrued amount {0} is less than paid amount {1} for Benefit {2} in payroll period {3},O valor acumulado {0} é menor que o valor pago {1} para o Benefício {2} no período processado na folha de pagamento {3}
Action,Ação
Action on Submission,Ação no envio
Actions,Ações
Active,Ativo
Activities,Atividades
Activity Name,Nome da atividade
Actual Amount,Valor real
Actual Encashable Days,Dias reais que podem ser resgatados
Actual Overtime Duration,Duração real das horas extras
Actual balances aren't available because the leave application spans over different leave allocations. You can still apply for leaves which would be compensated during the next allocation.,Os saldos reais não estão disponíveis porque o pedido de licença abrange diferentes alocações de licença. Você ainda pode solicitar licenças que seriam compensadas na próxima alocação.
Add Day-wise Dates,Adicionar datas diárias
Add Employee Property,Adicionar propriedade do funcionário
Add Feedback,Adicionar comentários
Add to Details,Adicionar aos detalhes
Add unused leaves from previous allocations,Adicione folhas não utilizadas de alocações anteriores
Add unused leaves from previous leave period's allocation to this allocation,Adicione licenças não utilizadas da alocação do período de licença anterior a esta alocação
Added On,Adicionado
Added tax components from the Salary Component master as the salary structure didn't have any tax component.,"Adicionados componentes fiscais do mestre Componente Salarial, pois a estrutura salarial não tinha nenhum componente tributário."
Added to details,Adicionado aos detalhes
Additional Amount,Valor Adicional
Additional Information ,Informações adicionais
Additional PF,FP Adicional
Additional Salary,Salário Adicional
Additional Salary ,Salário Adicional
Additional Salary for referral bonus can only be created against Employee Referral with status {0},O salário adicional para bônus por indicação só pode ser criado em relação à indicação de funcionário com status {0}
Additional Salary for this salary component with {0} enabled already exists for this date,O salário adicional para este componente salarial com {0} ativado já existe para esta data
Additional Salary: {0} already exist for Salary Component: {1} for period {2} and {3},Salário Adicional: {0} já existe para o Componente Salarial: {1} para o período {2} e {3}
Address of Organizer,Endereço do Organizador
Adjust Allocation,Ajustar alocação
Adjustment Created Successfully,Ajuste criado com sucesso
Adjustment Type,Tipo de ajuste
Administrator,Administrador
Advance,Avançar
Advance Account,Conta Antecipada
Advance Account Required,Conta antecipada necessária
Advance Account is mandatory. Please set the {0} in the Company {1} and submit this document.,Conta Antecipada é obrigatória. Defina {0} na Empresa {1} e envie este documento.
Advance Account {} currency should be same as Salary Currency of Employee {}. Please select same currency Advance Account,A moeda da conta antecipada {} deve ser igual à moeda do salário do funcionário {}. Selecione a mesma moeda da conta antecipada
Advance Paid,Adiantamento pago
Advance Paid (Company Currency),Adiantamento pago (moeda da empresa)
Advanced Filters,Filtros Avançados
Advances,Avanços
All,Todos
All Exchange Gain/Loss amount of {0} has been booked through {1},Todo o valor de ganho/perda cambial de {0} foi registrado por meio de {1}
All Goals,Todos os objetivos
All Jobs,Todos os trabalhos
All allocated assets should be returned before submission,Todos os ativos alocados devem ser devolvidos antes do envio
All the mandatory tasks for employee creation are not completed yet.,Todas as tarefas obrigatórias para criação de funcionários ainda não foram concluídas.
Allocate Based On Leave Policy,Alocar com base na política de licença
Allocate Leave,Alocar licença
Allocate leaves to {0} employee(s)?,Alocar licenças para {0} funcionário(s)?
Allocate on Day,Alocar no dia
Allocated Amount (Company Currency),Valor Alocado (Moeda da Empresa)
Allocated Leaves,Folhas Alocadas
Allocated Via,Alocado via
Allocating Leave,Alocando licença
Allocation Date,Data de Alocação
Allocation Details,Detalhes de alocação
Allocation Expired!,A alocação expirou!
Allocation is greater than the maximum allowed {0} for leave type {1},A alocação é maior que o máximo permitido {0} para o tipo de licença {1}
Allocation to Adjust,Alocação para Ajustar
Allocation was skipped due to exceeding annual allocation set in leave policy,A alocação foi ignorada devido ao excesso da alocação anual definida na política de licenças
Allocation was skipped due to maximum leave allocation limit set in leave type. Please increase the limit and retry failed allocation.,A alocação foi ignorada devido ao limite máximo de alocação de licença definido no tipo de licença. Aumente o limite e tente novamente a alocação com falha.
Allow Employee Checkin from Mobile App,Permitir check-in de funcionários no aplicativo móvel
Allow Encashment,Permitir cobrança
Allow Geolocation Tracking,Permitir rastreamento de geolocalização
Allow Leave Application After (Working Days),Permitir solicitação de licença após (dias úteis)
Allow Multiple Shift Assignments for Same Date,Permitir atribuições de vários turnos para a mesma data
Allow Negative Balance,Permitir saldo negativo
Allow Over Allocation,Permitir superalocação
Allow Overtime,Permitir horas extras
Allow Tax Exemption,Permitir isenção fiscal
Allow User,Permitir usuário
Allow Users,Permitir usuários
Allow check-out after shift end time (in minutes),Permitir check-out após o horário de término do turno (em minutos)
Allow claim for full benefit amount,Permitir reivindicação do valor total do benefício
Allow the following users to approve Leave Applications for block days.,Permitir que os seguintes usuários aprovem solicitações de licença para dias de bloqueio.
Allows allocating more leaves than the number of days in the allocation period.,Permite alocar mais licenças que o número de dias do período de alocação.
Alternating entries as IN and OUT during the same shift,Entradas alternadas como IN e OUT durante o mesmo turno
Amended From,Alterado de
Amount (Company Currency),Valor (moeda da empresa)
Amount Based on Formula,Valor baseado na fórmula
Amount based on formula,Valor baseado na fórmula
Amount claimed via Expense Claim,Valor reivindicado por meio de relatório de despesas
Amount of expense,Valor da despesa
Amount paid against this encashment,Valor pago contra esta cobrança
Amount scheduled for deduction via salary,Valor previsto para desconto via salário
Amount should not be less than zero,O valor não deve ser inferior a zero
Amount that has been paid against this advance,Valor que foi pago contra este adiantamento
An Arrear document already exists for employee {0} with salary structure {1} in payroll period {2},Já existe um documento de Atraso para o funcionário {0} com estrutura salarial {1} ​​no período processado na folha de pagamento {2}
An attendance record is linked to this checkin. Please cancel the attendance before modifying time.,Um registro de presença está vinculado a este check-in. Por favor cancele a participação antes de modificar o horário.
Annual Allocation,Alocação Anual
Annual Allocation Exceeded,Alocação anual excedida
Annual Salary,Salário Anual
Annual Taxable Amount,Valor tributável anual
Any other details,Quaisquer outros detalhes
"Any other remarks, noteworthy effort that should go in the records","Quaisquer outras observações, esforço digno de nota que deve ficar nos registros"
Applicable Earnings Component,Componente de ganhos aplicável
Applicable For,Aplicável para
Applicable Salary Components,Componentes Salariais Aplicáveis
Applicable in the case of Employee Onboarding,Aplicável no caso de integração de funcionários
Applicant Email Address,Endereço de e-mail do candidato
Applicant Name,Nome do requerente
Applicant Rating,Avaliação do Candidato
Applicant for a Job,Candidato a um emprego
Applicant name,Nome do requerente
Application Status,Status do aplicativo
Application Web Form Route,Rota do formulário da Web do aplicativo
Application period cannot be across two allocation records,O período de inscrição não pode abranger dois registros de alocação
Application period cannot be outside leave allocation period,O período de inscrição não pode estar fora do período de alocação de licença
Applications Received,Inscrições recebidas
Applications received:,Inscrições recebidas:
Applies to Company,Aplica-se à empresa
Apply,Aplicar
Apply / Approve Leaves,Aplicar/Aprovar licenças
Apply Filters,Aplicar filtros
Apply Now,Inscreva-se agora
Apply for Public Holiday,Inscreva-se para feriado
Apply for Weekend,Inscreva-se para o fim de semana
Appointment Date,Data da Consulta
Appointment Letter,Carta de Nomeação
Appointment Letter Template,Modelo de carta de nomeação
Appointment Letter content,Conteúdo da carta de nomeação
Appraisal,Avaliação
Appraisal Cycle,Ciclo de Avaliação
Appraisal Goal,Meta de avaliação
Appraisal KRA,Avaliação KRA
Appraisal Linking,Vinculação de avaliação
Appraisal Overview,Visão geral da avaliação
Appraisal Template,Modelo de avaliação
Appraisal Template Goal,Meta do modelo de avaliação
Appraisal Template Missing,Modelo de avaliação ausente
Appraisal Template Title,Título do modelo de avaliação
Appraisal Template not found for some designations.,Modelo de avaliação não encontrado para algumas designações.
Appraisal creation is queued. It may take a few minutes.,A criação da avaliação está na fila. Pode demorar alguns minutos.
Appraisal {0} already exists for Employee {1} for this Appraisal Cycle or overlapping period,A Avaliação {0} já existe para o Funcionário {1} para este Ciclo de Avaliação ou período sobreposto
Appraisal {0} does not belong to Employee {1},A avaliação {0} não pertence ao funcionário {1}
Appraisee,Avaliado
Appraisees: {0},Avaliados: {0}
Apprentice,Aprendiz
Approval,Aprovação
Approval Status,Status de aprovação
Approval Status must be 'Approved' or 'Rejected',O status de aprovação deve ser 'Aprovado' ou 'Rejeitado'
Approve,Aprovar
Approved,Aprovado
Approver,Aprovador
Approvers,Aprovadores
Apr,abril
Archive,Arquivo
Archived,Arquivado
Are you sure you want to delete the attachment,Tem certeza de que deseja excluir o anexo
Are you sure you want to email the selected salary slips?,Tem certeza de que deseja enviar por e-mail os comprovantes de salário selecionados?
Are you sure you want to proceed?,Tem certeza de que deseja prosseguir?
Are you sure you want to reject the Employee Referral?,Tem certeza de que deseja rejeitar a indicação do funcionário?
Arrear,Atrasado
Arrear Component,Componente atrasado
Arrear Component cannot be set for Salary Components based on taxable salary.,O Componente Atrasado não pode ser definido para Componentes Salariais com base no salário tributável.
Arrear Start Date,Data de início em atraso
Arrears,Atrasados
Arrival Datetime,Data e hora de chegada
As per your assigned Salary Structure you cannot apply for benefits,"De acordo com sua estrutura salarial atribuída, você não pode solicitar benefícios"
Asset Recovery Cost for {0}: {1},Custo de recuperação de ativos para {0}: {1}
Assets Allocated,Ativos Alocados
Assign Salary Structure to {0} employee(s)?,Atribuir estrutura salarial a {0} funcionário(s)?
Assign Shift,Atribuir turno
Assign Shift Schedule,Atribuir agendamento de turnos
Assign Structure,Atribuir Estrutura
Assigned To,Atribuído a
Assigning Salary Structure,Atribuição de estrutura salarial
Assigning Structure...,Atribuindo Estrutura...
Assigning Structures...,Atribuindo Estruturas...
Assigning...,Atribuindo...
Assignment Starts From,A tarefa começa em
Assignment based on,Atribuição baseada em
Assignment start date cannot be outside holiday list dates,A data de início da atribuição não pode ser diferente das datas da lista de feriados
Associate Job Opening,Vaga de emprego para associados
Associated Document,Documento Associado
Associated Document Type,Tipo de documento associado
At least one interview has to be selected.,Pelo menos uma entrevista deve ser selecionada.
Attach Proof,Anexar prova
Attachments,Anexos
Attempted,Tentativa
Attendance,Presença
Attendance Date,Data de comparecimento
Attendance From Date,Presença a partir da data
Attendance From Date and Attendance To Date is mandatory,Presença desde a data e presença até a data são obrigatórias
Attendance ID,ID de presença
Attendance Marked,Presença marcada
Attendance Request,Solicitação de Presença
Attendance Settings,Configurações de presença
Attendance To Date,Presença até o momento
Attendance Updated,Presença atualizada
Attendance Warnings,Avisos de presença
Attendance date {0} can not be less than employee {1}'s joining date: {2},A data de participação {0} não pode ser inferior à data de ingresso do funcionário {1}: {2}
Attendance for all the employees under this criteria has been marked already.,Já foi assinalada a assiduidade de todos os colaboradores abrangidos por este critério.
Attendance for employee {0} is already marked for an overlapping shift {1}: {2},A presença do funcionário {0} já está marcada para um turno sobreposto {1}: {2}
Attendance for employee {0} is already marked for the date {1}: {2},A presença do funcionário {0} já está marcada para a data {1}: {2}
Attendance for employee {0} is already marked for the following dates: {1},O comparecimento do funcionário {0} já está marcado para as seguintes datas: {1}
Attendance for the following dates will be skipped/overwritten on submission,A participação nas seguintes datas será ignorada/substituída no envio
Attendance from {0} to {1} has already been marked for the Employee {2},Presença de {0} a {1} já foi marcada para o Funcionário {2}
Attendance has been marked for all the employees between the selected payroll dates.,A presença foi marcada para todos os funcionários entre as datas selecionadas da folha de pagamento.
Attendance is pending for these employees between the selected payroll dates. Mark attendance to proceed. Refer {0} for details.,O atendimento está pendente para esses funcionários entre as datas selecionadas da folha de pagamento. Marque presença para prosseguir. Consulte {0} para obter detalhes.
Attendance marked successfully,Presença marcada com sucesso
Attendance marked successfully.,Presença marcada com sucesso.
Attendance not submitted for {0} as it is a Holiday.,Presença não enviada para {0} porque é feriado.
Attendance not submitted for {0} as {1} is on leave.,Presença não enviada para {0} porque {1} está de licença.
Attendance will be marked automatically only after this date.,A presença será marcada automaticamente somente após esta data.
AttendanceRequestListView,AtendimentoRequestListView
Attrition Count,Contagem de desgaste
Aug,Agosto
Auto Attendance Settings,Configurações de atendimento automático
Auto Leave Encashment,Resgate de licença automática
Automated Based on Goal Progress,Automatizado com base no progresso da meta
Automatic Leave Allocation has failed for the following Earned Leaves: {0}. Please check {1} for more details.,A alocação automática de licenças falhou para as seguintes licenças obtidas: {0}. Verifique {1} para obter mais detalhes.
"Automatically fetches all assets allocated to the employee, if any","Busca automaticamente todos os ativos alocados ao funcionário, se houver"
Automatically update Last Sync of Checkin,Atualizar automaticamente a última sincronização do check-in
Available Leave(s),Licenças Disponíveis
Available Leaves,Folhas disponíveis
Average Feedback Score,Pontuação Média de Feedback
Average Rating,Avaliação média
"Average of Goal Score, Feedback Score, and Self Appraisal Score","Média de pontuação de meta, pontuação de feedback e pontuação de autoavaliação"
Average rating of demonstrated skills,Classificação média das habilidades demonstradas
Avg Feedback Score,Pontuação média de feedback
Avg Utilization,Utilização média
Avg Utilization (Billed Only),Utilização média (somente faturado)
Awaiting Response,Aguardando resposta
Backdated Leave Application is restricted. Please set the {} in {},O pedido de licença retroativo é restrito. Defina o {} em {}
Bank / Cash Account,Conta bancária/dinheiro
Bank Account No,Conta Bancária Não
Bank Entries,Lançamentos Bancários
Bank Name,Nome do banco
Bank Remittance,Remessa Bancária
Base,Base
"Base, Variable & Leave Encashment","Resgate Base, Variável e Licença"
Begin On (Days),Começar em (dias)
Begin check-in before shift start time (in minutes),Comece o check-in antes do horário de início do turno (em minutos)
Beginner,Novato
Below is the list of upcoming holidays for you:,Abaixo está a lista dos próximos feriados para você:
Benefit,Beneficiar
Benefit Amount,Valor do benefício
Benefit Details,Detalhes do benefício
Benefit amount of component {0} exceeds {1},O valor do benefício do componente {0} excede {1}
Benefit amount of component {0} should be greater than 0,O valor do benefício do componente {0} deve ser maior que 0
Benefit amount {0} for Salary Component {1} should not be greater than maximum benefit amount {2} set in {3},O valor do benefício {0} para o Componente Salarial {1} ​​não deve ser maior que o valor máximo do benefício {2} definido em {3}
Benefits,Benefícios
Bill Amount,Valor da fatura
Billed Hours,Horas faturadas
Billed Hours (B),Horas faturadas (B)
Bimonthly,Bimestralmente
Birthday Reminder,Lembrete de aniversário
Birthday Reminder ðŸŽ‚,Lembrete de aniversário ðŸŽ‚
Birthdays,Aniversários
Block Date,Data de bloqueio
Block Days,Dias de bloqueio
Block Holidays on important days.,Bloqueie feriados em dias importantes.
Blue,Azul
Boarding Status,Status de embarque
Body,Corpo
Bonus,Bônus
Bonus Amount,Valor do bônus
Bonus Payment Date,Data de pagamento do bônus
Bonus Payment Date cannot be a past date,A data de pagamento do bônus não pode ser uma data passada
Branch: {0},Filial: {0}
Bulk Assignments,Atribuições em massa
Bulk Leave Policy Assignment,Atribuição de política de licença em massa
Bulk Salary Structure Assignment,Atribuição de estrutura salarial em massa
Bulk attendance marking is already in progress for employee {0}. You can monitor the job status {1},A marcação de presença em massa já está em andamento para o funcionário {0}. Você pode monitorar o status do trabalho {1}
Bulk attendance marking is queued with a background job. It may take a while. You can monitor the job status {0},A marcação de presença em massa é enfileirada com uma tarefa em segundo plano. Pode demorar um pouco. Você pode monitorar o status do trabalho {0}
"By default, the Final Score is calculated as the average of Goal Score, Feedback Score, and Self Appraisal Score. Enable this to set a different formula","Por padrão, a pontuação final é calculada como a média da pontuação da meta, pontuação do feedback e pontuação da autoavaliação. Habilite isto para definir uma fórmula diferente"
CTC,CTC
Calculate Final Score based on Formula,Calcule a pontuação final com base na fórmula
Calculate Gratuity Amount Based On,Calcular o valor da gratificação com base em
Calculate Payroll Working Days Based On,Calcule os dias úteis da folha de pagamento com base em
Calculated in days,Calculado em dias
Campaign,Campanha
Cancellation Queued,Cancelamento na fila
Cancelled,Cancelado
Cannot Modify Time,Não é possível modificar a hora
Cannot allocate leaves outside the allocation period {0} - {1},Não é possível alocar licenças fora do período de alocação {0} - {1}
Cannot allocate more leaves due to maximum leave allocation limit of {0} in leave policy assignment,Não é possível alocar mais licenças devido ao limite máximo de alocação de licenças de {0} na atribuição da política de licenças
Cannot allocate more leaves due to maximum leaves allowed limit of {0} in {1} leave type.,Não é possível alocar mais licenças devido ao limite máximo de licenças permitido de {0} no tipo de licença {1}.
Cannot break shift after end date,Não é possível interromper o turno após a data de término
Cannot break shift before start date,Não é possível interromper o turno antes da data de início
Cannot cancel Shift Assignment: {0} as it is linked to Attendance: {1},Não é possível cancelar a Atribuição de Turno: {0} porque está vinculada à Presença: {1}
Cannot cancel Shift Assignment: {0} as it is linked to Employee Checkin: {1},Não é possível cancelar a Atribuição de Turno: {0} porque está vinculada ao Check-in do Funcionário: {1}
Cannot create Salary Slip for Employee joining after Payroll Period,Não é possível criar comprovante de salário para ingresso de funcionário após período de folha de pagamento
Cannot create Salary Slip for Employee who has left before Payroll Period,Não é possível criar comprovante de salário para funcionário que saiu antes do período da folha de pagamento
Cannot create a Job Applicant against a closed Job Opening,Não é possível criar um candidato a emprego em uma vaga fechada
Cannot create or change transactions against an Appraisal Cycle with status {0}.,Não é possível criar ou alterar transações em um Ciclo de Avaliação com status {0}.
Cannot find active Leave Period,Não é possível encontrar o período de licença ativo
Cannot mark attendance for an Inactive employee {0},Não é possível marcar presença para um funcionário inativo {0}
Cannot submit. Attendance is not marked for some employees.,Não é possível enviar. A presença não é marcada para alguns funcionários.
Cannot update allocation for {0} after submission,Não é possível atualizar a alocação de {0} após o envio
Cannot update status of Goal groups,Não é possível atualizar o status dos grupos de metas
Carry Forward,Seguir em frente
Carry Forwarded Leaves,Transportar folhas encaminhadas
Casual Leave,Licença casual
Cause of Grievance,Causa da reclamação
Change,Mudar
Changed the status from {0} to {1} and Status for Other Half to {2} via Attendance Request,Alterado o status de {0} para {1} e o status da outra metade para {2} via solicitação de presença
Changing '{0}' to {1}.,Alterando '{0}' para {1}.
"Changing KRA in this parent goal will align all the child goals to the same KRA, if any.","Alterar o KRA nesta meta pai alinhará todas as metas secundárias ao mesmo KRA, se houver."
Check <a href='/app/List/Error Log?reference_doctype={0}'>{1}</a> for more details,Verifique <a href='/app/List/Error Log?reference_doctype={0}'>{1}</a> para obter mais detalhes
Check Error Log {0} for more details.,Verifique o Log de erros {0} para obter mais detalhes.
Check Vacancies On Job Offer Creation,Verifique as vagas na criação de ofertas de emprego
Check {0} for more details,Verifique {0} para obter mais detalhes
Check-in Date,Data de check-in
Check-out Date,Data de check-out
Checkin Radius,Raio de check-in
Child nodes can only be created under 'Group' type nodes,Nós filhos só podem ser criados em nós do tipo 'Grupo'
"Choose how the hourly overtime amount is calculated:|||<ol style=""padding-left:15px""><li>Fixed Hourly Rate: A fixed, manually entered hourly rate.</li>|||<li>Salary Component-Based:||||||(Sum of selected component amounts) Ã· (Payment Days) Ã· (Standard Daily Hours)</li></ol>","Escolha como o valor das horas extras por hora é calculado:|||<ol style=""padding-left:15px""><li>Taxa horária fixa: uma taxa horária fixa inserida manualmente.</li>|||<li>Com base no componente salarial:||||||(Soma dos valores dos componentes selecionados) Ã· (Dias de pagamento) Ã· (Horas diárias padrão)</li></ol>"
Choose the date on which you want to create these components as arrears.,Escolha a data em que deseja criar esses componentes como atrasados.
Claim Benefit For,Solicitar benefício para
Claim an Expense,Reivindicar uma despesa
Claimed,Reivindicado
Claimed Amount,Valor reivindicado
Claimed amount of employee {0} exceeds maximum amount eligible for claim {1},O valor reivindicado pelo funcionário {0} excede o valor máximo elegível para reivindicação {1}
Claimed amount of employee {0} should be greater than 0,O valor reivindicado do funcionário {0} deve ser maior que 0
Claims,Reivindicações
Clear All,Limpar tudo
Cleared,Desmarcado
Click {0} to change the configuration and then resave salary slip,Clique em {0} para alterar a configuração e salvar novamente o comprovante de salário
Close,Fechar
Closed,Fechado
Closed On,Fechado
Closes On,Fecha em
Closes on:,Fecha em:
Closing Notes,Notas finais
Collapse All,Recolher tudo
Comments,Comentários
Company Details,Detalhes da empresa
Compensatory Leave Request,Solicitação de licença compensatória
Compensatory Off,Desativação compensatória
Completed,Concluído
Completed On,Concluído em
Completing onboarding,Concluindo a integração
Component,Componente
Component properties and references ,Propriedades e referências de componentes
Condition,Doença
Condition & Formula,Condição e Fórmula
Condition and Formula Help,Ajuda sobre condição e fórmula
Condition and formula,Condição e fórmula
Conditions,Condições
Conditions and Formula variable and example,Condições e variável de fórmula e exemplo
Conference,Conferência
Connections,Conexões
Consider Grace Period,Considere o período de carência
Consider Marked Attendance on Holidays,Considere comparecimento marcado em feriados
Consider Tax Exemption Declaration,Considere a declaração de isenção fiscal
Consider Unmarked Attendance As,Considere a presença não marcada como
Consolidate Leave Types,Consolidar tipos de licença
Contact Email,E-mail de contato
Contact No.,Número de contato
Contact Number,Número de contato
Continue,Continuar
Copy of Invitation/Announcement,Cópia do convite/anúncio
Cost,Custo
Costing,Custeio
Costing Details,Detalhes de custos
Could not submit some Salary Slips: {},Não foi possível enviar alguns comprovantes de salário: {}
Could not update Goal,Não foi possível atualizar a meta
Could not update goals,Não foi possível atualizar as metas
Country,País
Country Fixture Deletion Failed,Falha na exclusão do equipamento do país
Country Setup failed,Falha na configuração do país
Course,Curso
Cover Letter,Carta de apresentação
Create,Criar
Create Additional Salary,Criar salário adicional
Create Appraisals,Criar avaliações
Create Interview,Criar Entrevista
Create Job Applicant,Criar candidato a emprego
Create Job Offer,Criar oferta de emprego
Create Job Opening,Criar vaga de emprego
Create New Employee Id,Criar novo ID de funcionário
Create Overtime Slip For Eligible Employee(s),Criar recibo de horas extras para funcionários qualificados
Create Overtime Slips,Criar recibos de horas extras
Create Salary Slip,Criar comprovante de salário
Create Salary Slips,Criar recibos de salário
Create Shifts After,Crie turnos depois
Creating Appraisals,Criação de avaliações
Creating Payment Entries......,Criando entradas de pagamento......
Creating Salary Slips...,Criando recibos de salário...
Creating {0}...,Criando {0}...
Creation Date,Data de criação
Creation Failed,Falha na criação
Creation of Salary Structure Assignments has been queued. It may take a few minutes.,A criação de atribuições de estrutura salarial foi enfileirada. Pode demorar alguns minutos.
Creation of {0} has been queued. It may take a few minutes.,A criação de {0} foi colocada na fila. Pode demorar alguns minutos.
Criteria,Critérios
